Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Ransomware,Retail,175261,Nation-state,Zero-day,64,6.08
Man-in-the-Middle,Healthcare,746369,Insider,Unpatched Software,30,90.85
Malware,Healthcare,563706,Nation-state,Unpatched Software,35,77.32
DDoS,Healthcare,254980,Insider,Unpatched Software,58,12.01
Malware,Education,869574,Unknown,Unpatched Software,16,0.54
Malware,IT,282598,Unknown,Zero-day,21,95.33
Malware,Telecommunications,422623,Nation-state,Zero-day,55,62.77
Malware,Healthcare,937717,Unknown,Unpatched Software,56,83.06
Man-in-the-Middle,Telecommunications,416077,Insider,Social Engineering,39,71.64
Man-in-the-Middle,Banking,112313,Insider,Social Engineering,63,47.67
Man-in-the-Middle,Telecommunications,799971,Insider,Zero-day,63,79.72
Man-in-the-Middle,Retail,690595,Hacker Group,Social Engineering,71,47.11
Man-in-the-Middle,Government,713419,Hacker Group,Unpatched Software,70,69.69
Man-in-the-Middle,Healthcare,707365,Hacker Group,Zero-day,38,81.31
Malware,Healthcare,155059,Unknown,Unpatched Software,29,83.88
Phishing,Banking,923558,Insider,Weak Passwords,41,85.01
DDoS,Telecommunications,239313,Nation-state,Social Engineering,6,20.55
Ransomware,Telecommunications,874485,Hacker Group,Weak Passwords,48,60.08
SQL Injection,Healthcare,90895,Unknown,Social Engineering,29,46.95
Man-in-the-Middle,Retail,529593,Hacker Group,Zero-day,64,47.2
Phishing,Government,610201,Nation-state,Weak Passwords,72,46.92
DDoS,Telecommunications,863623,Hacker Group,Weak Passwords,24,1.98
Malware,Healthcare,755771,Insider,Weak Passwords,44,14.28
SQL Injection,Telecommunications,164032,Unknown,Social Engineering,5,66.23
Man-in-the-Middle,Telecommunications,259993,Nation-state,Weak Passwords,58,95.66
Phishing,Retail,232359,Unknown,Social Engineering,17,90.13
Phishing,Telecommunications,800031,Unknown,Unpatched Software,10,84.9
Phishing,Healthcare,925040,Unknown,Unpatched Software,48,71.19
Malware,IT,273469,Insider,Social Engineering,67,99.29
Malware,Banking,797768,Insider,Zero-day,58,22.84
DDoS,Education,905203,Hacker Group,Weak Passwords,37,82.19
Phishing,Telecommunications,512291,Insider,Zero-day,51,11.72
Phishing,Telecommunications,416833,Insider,Social Engineering,9,27.08
Ransomware,Government,744505,Nation-state,Unpatched Software,43,30.74
Malware,Banking,755029,Nation-state,Weak Passwords,27,79.61
Malware,Banking,660182,Insider,Weak Passwords,21,99.22
Ransomware,Retail,403737,Insider,Zero-day,26,29.48
DDoS,Retail,86783,Nation-state,Weak Passwords,12,7.87
DDoS,Telecommunications,390083,Nation-state,Social Engineering,72,86.77
Man-in-the-Middle,Banking,376174,Unknown,Social Engineering,43,20.15
Ransomware,Government,485080,Insider,Weak Passwords,61,31.94
Ransomware,Banking,759804,Unknown,Unpatched Software,47,78.82
Phishing,IT,286208,Hacker Group,Zero-day,57,65.62
Malware,IT,992377,Nation-state,Unpatched Software,33,75.53
Man-in-the-Middle,Education,48987,Unknown,Zero-day,58,36.06
SQL Injection,Telecommunications,538602,Insider,Unpatched Software,19,68.07
Malware,Healthcare,808392,Hacker Group,Weak Passwords,4,26.29
Ransomware,IT,21580,Unknown,Weak Passwords,14,26.12
Phishing,Government,209658,Insider,Zero-day,11,94.44
Man-in-the-Middle,Retail,559889,Nation-state,Zero-day,10,74.12
SQL Injection,Government,344516,Insider,Zero-day,28,12.92
Phishing,Retail,897569,Hacker Group,Social Engineering,66,73.43
SQL Injection,Healthcare,538688,Nation-state,Zero-day,36,99.19
DDoS,Government,303975,Nation-state,Social Engineering,2,22.71
SQL Injection,Telecommunications,822256,Insider,Unpatched Software,60,67.62
Man-in-the-Middle,Healthcare,521877,Unknown,Zero-day,66,53.82
SQL Injection,Education,758258,Unknown,Zero-day,44,55.83
DDoS,IT,988369,Hacker Group,Weak Passwords,26,17.12
Malware,Healthcare,325521,Hacker Group,Social Engineering,69,67.89
Ransomware,IT,254933,Nation-state,Social Engineering,41,5.54
DDoS,Government,339144,Hacker Group,Unpatched Software,26,55.28
Ransomware,Education,170002,Unknown,Unpatched Software,54,57.52
DDoS,Government,491269,Nation-state,Zero-day,67,74.65
Phishing,Banking,341100,Insider,Social Engineering,37,49.14
DDoS,Government,446170,Insider,Unpatched Software,72,36.04
Malware,Telecommunications,28398,Insider,Zero-day,22,14.09
Ransomware,Telecommunications,180698,Hacker Group,Zero-day,53,66.36
Malware,Healthcare,676384,Unknown,Social Engineering,44,8.53
Ransomware,Healthcare,961557,Insider,Unpatched Software,64,61.91
Phishing,Education,345334,Hacker Group,Weak Passwords,25,54.47
Phishing,Education,263407,Nation-state,Zero-day,8,87.88
Phishing,IT,791350,Nation-state,Social Engineering,32,89.22
Ransomware,Telecommunications,591819,Unknown,Zero-day,49,64.92
SQL Injection,IT,186612,Unknown,Unpatched Software,30,6.59
Ransomware,Retail,187730,Nation-state,Weak Passwords,26,48.0
SQL Injection,IT,6456,Hacker Group,Social Engineering,69,87.78
Malware,Banking,762662,Hacker Group,Zero-day,56,15.73
Phishing,IT,256396,Hacker Group,Zero-day,29,30.26
SQL Injection,Healthcare,437634,Unknown,Weak Passwords,29,54.59
Malware,Healthcare,80855,Nation-state,Zero-day,53,63.09
Phishing,Retail,967614,Nation-state,Unpatched Software,71,59.36
Ransomware,IT,934400,Unknown,Social Engineering,4,79.52
Man-in-the-Middle,Telecommunications,547719,Unknown,Weak Passwords,22,87.83
Malware,Healthcare,808984,Unknown,Weak Passwords,26,96.63
Ransomware,Banking,261038,Nation-state,Social Engineering,48,52.86
Phishing,Education,841054,Insider,Zero-day,49,4.01
Ransomware,IT,175038,Hacker Group,Weak Passwords,67,68.02
Phishing,Retail,774613,Hacker Group,Weak Passwords,53,67.17
Phishing,Healthcare,558357,Hacker Group,Weak Passwords,49,37.45
Phishing,Retail,620056,Nation-state,Weak Passwords,14,36.78
Malware,Healthcare,90640,Unknown,Social Engineering,56,40.66
Ransomware,Retail,449596,Unknown,Unpatched Software,3,76.93
Ransomware,Healthcare,207842,Nation-state,Social Engineering,40,58.91
Phishing,Retail,908249,Nation-state,Zero-day,53,93.6
Phishing,Healthcare,470895,Nation-state,Social Engineering,63,47.39
Malware,Education,342049,Nation-state,Unpatched Software,31,3.21
Phishing,Banking,316891,Hacker Group,Social Engineering,55,98.75
Man-in-the-Middle,Education,633466,Unknown,Zero-day,16,27.45
Malware,Telecommunications,123866,Nation-state,Zero-day,43,23.98
DDoS,Telecommunications,305905,Unknown,Unpatched Software,44,79.93
SQL Injection,Telecommunications,702942,Nation-state,Unpatched Software,34,3.66
Man-in-the-Middle,Retail,11339,Hacker Group,Social Engineering,34,72.78
SQL Injection,Banking,8385,Nation-state,Social Engineering,69,73.88
Ransomware,Banking,21810,Insider,Zero-day,48,52.8
Man-in-the-Middle,Healthcare,7347,Insider,Zero-day,7,94.6
SQL Injection,Education,61463,Hacker Group,Weak Passwords,58,1.62
DDoS,Healthcare,683572,Insider,Zero-day,69,0.82
Malware,Healthcare,654633,Nation-state,Weak Passwords,43,90.91
DDoS,Banking,311274,Hacker Group,Zero-day,67,32.84
Malware,Education,185208,Unknown,Zero-day,3,63.33
Man-in-the-Middle,Healthcare,182378,Insider,Social Engineering,10,27.82
Phishing,IT,800480,Unknown,Zero-day,31,7.73
DDoS,Banking,147761,Unknown,Unpatched Software,68,46.98
Ransomware,Banking,923911,Insider,Unpatched Software,60,80.11
Ransomware,Education,418893,Insider,Social Engineering,31,11.81
Ransomware,Education,914593,Unknown,Weak Passwords,1,15.09
SQL Injection,Banking,344789,Unknown,Zero-day,69,20.69
DDoS,Telecommunications,116906,Insider,Social Engineering,7,36.86
Phishing,Education,812343,Insider,Social Engineering,16,10.87
Malware,IT,346390,Hacker Group,Weak Passwords,36,18.17
Phishing,IT,30925,Insider,Zero-day,43,13.89
DDoS,Government,663812,Nation-state,Zero-day,57,15.63
Man-in-the-Middle,Government,220978,Nation-state,Zero-day,47,32.72
DDoS,Banking,100486,Nation-state,Unpatched Software,31,97.03
SQL Injection,Education,195733,Nation-state,Weak Passwords,70,75.63
Man-in-the-Middle,Healthcare,707978,Nation-state,Weak Passwords,41,64.21
Phishing,Healthcare,456432,Insider,Weak Passwords,66,99.14
Man-in-the-Middle,IT,37230,Unknown,Social Engineering,52,75.51
DDoS,Government,890414,Nation-state,Unpatched Software,28,11.68
Malware,IT,440358,Nation-state,Social Engineering,5,33.84
Malware,Healthcare,400752,Insider,Unpatched Software,36,38.89
Phishing,Banking,134364,Nation-state,Zero-day,63,89.77
DDoS,Telecommunications,406483,Insider,Weak Passwords,62,15.01
SQL Injection,IT,661583,Insider,Social Engineering,30,98.38
SQL Injection,Education,642834,Unknown,Weak Passwords,34,23.49
Ransomware,IT,493087,Hacker Group,Unpatched Software,44,9.43
Man-in-the-Middle,IT,966570,Nation-state,Weak Passwords,32,97.37
Phishing,Telecommunications,687383,Nation-state,Weak Passwords,8,73.26
Phishing,Retail,733304,Unknown,Weak Passwords,19,78.84
Ransomware,Telecommunications,661681,Hacker Group,Weak Passwords,14,3.51
SQL Injection,IT,644538,Unknown,Social Engineering,57,25.32
Phishing,Banking,861637,Unknown,Social Engineering,15,58.78
SQL Injection,Telecommunications,393189,Unknown,Zero-day,37,73.76
SQL Injection,Healthcare,999545,Hacker Group,Social Engineering,47,27.06
SQL Injection,IT,935572,Hacker Group,Social Engineering,61,77.82
Ransomware,IT,724608,Hacker Group,Social Engineering,21,55.99
DDoS,Banking,750979,Unknown,Social Engineering,30,55.73
Malware,Telecommunications,552358,Nation-state,Weak Passwords,42,7.44
Phishing,Banking,902654,Insider,Social Engineering,9,37.07
Ransomware,Healthcare,413293,Hacker Group,Zero-day,27,75.67
Malware,Retail,114357,Insider,Zero-day,58,56.19
Malware,Government,363432,Hacker Group,Zero-day,40,70.53
SQL Injection,Telecommunications,304618,Unknown,Unpatched Software,54,63.77
SQL Injection,IT,153154,Hacker Group,Zero-day,37,32.73
Malware,Banking,741153,Insider,Social Engineering,66,21.87
Man-in-the-Middle,Healthcare,261230,Insider,Social Engineering,19,72.08
SQL Injection,Telecommunications,688014,Unknown,Zero-day,18,53.82
DDoS,Education,45027,Unknown,Social Engineering,68,3.3
Malware,Banking,689681,Nation-state,Weak Passwords,62,13.99
Malware,Government,702688,Hacker Group,Unpatched Software,39,93.49
Man-in-the-Middle,Banking,86038,Insider,Weak Passwords,19,97.28
Malware,Education,899381,Insider,Unpatched Software,66,17.19
Malware,IT,157667,Insider,Weak Passwords,34,54.21
Malware,Government,643714,Nation-state,Weak Passwords,25,64.28
Ransomware,Education,3607,Insider,Zero-day,7,71.31
Phishing,Banking,259706,Hacker Group,Social Engineering,2,52.31
Man-in-the-Middle,Retail,698921,Insider,Weak Passwords,72,40.94
Ransomware,Government,482574,Nation-state,Unpatched Software,22,32.21
DDoS,IT,618269,Nation-state,Weak Passwords,48,20.44
Ransomware,Government,854961,Unknown,Unpatched Software,7,59.66
SQL Injection,Education,595157,Unknown,Zero-day,41,56.33
SQL Injection,Government,813706,Hacker Group,Weak Passwords,54,2.24
DDoS,Telecommunications,322527,Nation-state,Weak Passwords,46,82.05
DDoS,Healthcare,557016,Unknown,Zero-day,34,11.92
DDoS,Healthcare,966668,Hacker Group,Weak Passwords,15,54.83
SQL Injection,Retail,813165,Nation-state,Unpatched Software,44,36.17
SQL Injection,Government,400807,Unknown,Weak Passwords,67,80.06
Man-in-the-Middle,Retail,549300,Hacker Group,Weak Passwords,26,74.85
Ransomware,Government,956893,Unknown,Social Engineering,49,74.01
SQL Injection,Government,245370,Insider,Social Engineering,57,46.2
Malware,IT,912731,Nation-state,Zero-day,4,9.59
Malware,Telecommunications,362085,Insider,Weak Passwords,5,81.19
SQL Injection,Telecommunications,862664,Hacker Group,Zero-day,44,42.8
Ransomware,Telecommunications,313384,Insider,Social Engineering,51,32.65
Malware,Banking,593009,Unknown,Social Engineering,27,17.99
SQL Injection,Banking,933754,Insider,Social Engineering,36,30.68
DDoS,Government,55055,Hacker Group,Unpatched Software,44,82.12
SQL Injection,Education,481180,Hacker Group,Weak Passwords,10,94.63
Man-in-the-Middle,Banking,110260,Unknown,Weak Passwords,66,54.03
DDoS,Government,741592,Insider,Social Engineering,69,10.54
Phishing,Education,928026,Unknown,Social Engineering,5,34.41
SQL Injection,Education,399014,Nation-state,Zero-day,52,84.27
Ransomware,Retail,42831,Hacker Group,Social Engineering,42,35.08
Man-in-the-Middle,Healthcare,545613,Insider,Unpatched Software,25,45.11
Man-in-the-Middle,Retail,813789,Nation-state,Unpatched Software,27,92.57
Ransomware,Banking,345825,Hacker Group,Zero-day,6,13.49
Phishing,Education,29671,Insider,Unpatched Software,61,8.42
Phishing,Government,34011,Insider,Unpatched Software,9,92.5
SQL Injection,Banking,341383,Nation-state,Weak Passwords,9,63.8
Ransomware,Banking,565080,Unknown,Zero-day,6,40.86
Malware,Banking,862136,Hacker Group,Zero-day,44,79.24
Man-in-the-Middle,Retail,241151,Hacker Group,Social Engineering,56,37.15
Man-in-the-Middle,Government,321158,Insider,Zero-day,37,62.06
Phishing,Education,472386,Nation-state,Zero-day,24,31.03
Man-in-the-Middle,Healthcare,34240,Insider,Weak Passwords,45,82.54
Malware,Government,98018,Insider,Zero-day,55,34.4
Phishing,Education,555808,Unknown,Weak Passwords,4,72.2
SQL Injection,Healthcare,449333,Hacker Group,Unpatched Software,39,52.23
Man-in-the-Middle,Retail,368618,Nation-state,Social Engineering,22,7.16
Man-in-the-Middle,IT,310175,Hacker Group,Unpatched Software,53,78.23
Phishing,Retail,986980,Nation-state,Zero-day,71,25.1
DDoS,Retail,518181,Insider,Zero-day,24,88.54
Phishing,Retail,72782,Unknown,Zero-day,63,49.51
DDoS,Telecommunications,502842,Unknown,Zero-day,15,4.08
Phishing,Retail,376586,Unknown,Weak Passwords,51,89.31
Phishing,Government,698597,Unknown,Social Engineering,66,88.55
SQL Injection,Education,559195,Insider,Weak Passwords,52,5.26
Ransomware,Retail,236253,Unknown,Social Engineering,38,17.57
DDoS,Healthcare,534847,Nation-state,Zero-day,3,8.01
Malware,Retail,262611,Unknown,Social Engineering,33,39.86
SQL Injection,Telecommunications,848702,Unknown,Weak Passwords,48,11.61
Man-in-the-Middle,Retail,609952,Hacker Group,Unpatched Software,7,73.98
Man-in-the-Middle,IT,978868,Insider,Weak Passwords,39,65.86
Ransomware,Retail,659734,Insider,Unpatched Software,54,41.26
DDoS,Retail,88354,Nation-state,Social Engineering,52,64.38
Phishing,Banking,771434,Hacker Group,Social Engineering,38,75.01
SQL Injection,Banking,91560,Hacker Group,Weak Passwords,35,1.73
Phishing,Healthcare,375292,Unknown,Unpatched Software,48,1.35
SQL Injection,Retail,43366,Unknown,Weak Passwords,43,70.88
Ransomware,Telecommunications,429224,Unknown,Social Engineering,56,32.08
Phishing,Healthcare,526227,Hacker Group,Weak Passwords,62,68.99
Man-in-the-Middle,Retail,621770,Insider,Unpatched Software,70,9.77
DDoS,Telecommunications,857688,Insider,Zero-day,55,14.53
SQL Injection,Banking,644841,Insider,Weak Passwords,64,33.06
Man-in-the-Middle,IT,242847,Unknown,Unpatched Software,37,67.61
Man-in-the-Middle,IT,155225,Unknown,Weak Passwords,13,85.3
Man-in-the-Middle,Banking,712646,Nation-state,Unpatched Software,50,79.68
Phishing,Government,298941,Unknown,Zero-day,13,61.87
Man-in-the-Middle,Telecommunications,783480,Insider,Zero-day,55,4.92
Phishing,Healthcare,950451,Hacker Group,Weak Passwords,29,99.97
Malware,Education,917848,Insider,Social Engineering,30,95.42
SQL Injection,Education,194633,Nation-state,Social Engineering,37,42.98
Malware,Telecommunications,778844,Unknown,Zero-day,65,68.42
SQL Injection,Government,668774,Unknown,Social Engineering,61,36.14
SQL Injection,Healthcare,824351,Unknown,Zero-day,17,69.76
Phishing,Healthcare,510974,Unknown,Weak Passwords,16,3.02
Man-in-the-Middle,Healthcare,404595,Unknown,Social Engineering,3,86.29
SQL Injection,IT,742273,Hacker Group,Zero-day,67,6.31
